,COUNTRY,COURSE TYPE,COURSE (SPECIALIZATION),FEES,Target
0,GERMANY,MBA,MBA in Sales & Marketing ,3678127.31,High Cost
1,GERMANY,MBA,MBA in Banking,1253594.37,High Cost
2,GERMANY,MBA,MBA in Business Administration,454540.69,High Cost
3,GERMANY,MBA,MBA in Hospital/Healthcare Management,3246719.22,High Cost
4,GERMANY,MBA,MBA in Human Resource Management,1217519.71,High Cost
5,GERMANY,MBA,MBA in Internal Business,1442986.32,High Cost
6,GERMANY,MBA,MBA in Supply Chain & Logistics Management,1112181.71,High Cost
7,GERMANY,MBA,MBA in General Management,1420439.66,High Cost
8,GERMANY,MBA,MBA in Global Business Management,1339271.68,High Cost
9,GERMANY,MBA,MBA in Entrepreneurship & Leadership Management,1147174.12,High Cost
10,GERMANY,MBA,MBA in Tourism,1217519.71,High Cost
11,GERMANY,MBA,MBA in Business Engineer,1316725.02,High Cost
12,GERMANY,MBA,MBA in Finance,1442986.32,High Cost
13,GERMANY,MBA,MBA in Accounting,1354964.15,High Cost
14,GERMANY,MBA,MBA in Project Management,1112181.71,High Cost
15,GERMANY,MBA,MBA in E-Sports Management,1354964.15,High Cost
16,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Hotel Management,1226769.15,High Cost
17,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Marketing,1082894.39,High Cost
18,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Event Management,938117.59,High Cost
19,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Luxury & Brand,1028321.2,High Cost
20,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Logistics & Supply Chain ,1195197.89,High Cost
21,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in International Business ,1082894.39,High Cost
22,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Supply Chain Management,1533461.44,High Cost
23,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Hospital/Healthcare Management,1195197.89,High Cost
24,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Real Estate,3047078.08,High Cost
25,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Human Resource Management,1195197.89,High Cost
26,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Risk Management,755906.29,High Cost
27,GERMANY,MASTERS OF MANAGEMENT,"MASTERS OF MANAGEMENT in Sports,Leisure & Tourism",986647.13,High Cost
28,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Eco-Design & Sustainable,1163626.62,High Cost
29,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Tourism,1195197.89,High Cost
30,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Data Analysis,1353054.21,High Cost
31,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Digital Marketing,1353054.21,High Cost
